City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Maceio,BR,-9.6658,-35.7353,78.24,94,75,1.14,broken clouds
81,Nanakuli,US,21.3906,-158.1547,75.15,66,20,5.75,light rain
82,Peniche,PT,39.3558,-9.3811,50.11,81,5,5.28,clear sky
83,Powell,US,40.1578,-83.0752,48.9,79,0,8.05,clear sky
84,Salaspils,LV,56.8601,24.3654,33.84,94,100,5.77,overcast clouds
85,Lithakia,GR,37.7167,20.8333,36.68,87,0,0.0,clear sky
86,Port Lincoln,AU,-34.7333,135.8667,78.87,49,24,15.1,few clouds
87,Lata,PT,40.1629,-8.3327,39.92,78,67,3.8,broken clouds
88,Tanout,NE,14.9709,8.8879,56.21,25,0,18.28,clear sky
89,Altay,CN,47.8667,88.1167,20.61,95,100,5.48,snow
90,Le Port,RE,-20.9373,55.2919,84.2,90,31,1.34,scattered clouds
91,Daru,PG,-9.0763,143.2092,86.54,66,60,10.69,broken clouds
92,Hambantota,LK,6.1241,81.1185,86.34,66,0,16.11,clear sky
93,Carutapera,BR,-1.195,-46.02,74.77,95,100,5.44,light rain
94,Chokurdakh,RU,70.6333,147.9167,-36.24,100,94,2.75,overcast clouds
95,Peleduy,RU,59.6289,112.7406,10.98,86,100,7.81,overcast clouds
96,Kupang,ID,-10.1667,123.5833,88.38,74,40,9.22,scattered clouds
97,Paka,MY,4.6374,103.4368,85.93,62,40,8.05,scattered clouds
98,Vila Do Maio,CV,15.1333,-23.2167,66.99,74,0,22.59,clear sky
99,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,79,10,4.38,clear sky
100,Awbari,LY,26.5921,12.7805,46.63,58,68,9.44,broken clouds
101,Saskylakh,RU,71.9167,114.0833,-1.52,98,100,6.26,overcast clouds
102,Rio Claro,BR,-22.4114,-47.5614,68.81,95,100,3.8,overcast clouds
103,Yoshida,JP,37.6833,138.8833,37.29,60,75,6.71,broken clouds
104,Jinchang,CN,38.4953,102.1739,36.97,43,100,1.79,overcast clouds
105,Sorong,ID,-0.8833,131.25,83.77,70,100,8.9,overcast clouds
106,Samarai,PG,-10.6167,150.6667,84.31,74,100,12.8,overcast clouds
107,Acton,GB,51.509,-0.2762,47.93,92,100,9.22,overcast clouds
108,Bartica,GY,6.4,-58.6167,75.52,99,100,2.53,overcast clouds
109,Chebsara,RU,59.2002,38.8356,18.73,98,100,4.65,overcast clouds
110,Deputatskiy,RU,69.3,139.9,-40.76,94,24,5.3,few clouds
111,Tasiilaq,GL,65.6145,-37.6368,19.56,95,100,7.76,light snow
112,Wagar,SD,16.1525,36.2032,71.19,59,0,13.4,clear sky
113,Cape Town,ZA,-33.9258,18.4232,75.11,69,20,19.57,few clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-32.8,68,0,6.91,clear sky
115,Kulhudhuffushi,MV,6.6221,73.07,80.15,71,13,10.11,few clouds
116,Namatanai,PG,-3.6667,152.4333,83.7,71,58,6.31,light rain
117,Phitsanulok,TH,16.9167,100.5,91.54,34,60,2.89,broken clouds
118,Kodiak,US,57.79,-152.4072,17.11,53,0,5.75,clear sky
119,New Norfolk,AU,-42.7826,147.0587,71.1,65,100,1.01,light rain
120,Hasaki,JP,35.7333,140.8333,45.0,51,31,7.2,scattered clouds
121,Odweyne,SO,9.4092,45.064,76.3,34,0,3.33,clear sky
122,Manikpur,IN,25.0667,81.1167,80.74,23,0,8.34,clear sky
123,Smithers,CA,54.7804,-127.1743,34.12,75,100,6.91,overcast clouds
124,Avarua,CK,-21.2078,-159.775,80.65,89,20,3.44,few clouds
125,Luderitz,NA,-26.6481,15.1594,67.51,67,0,17.2,clear sky
126,Calvinia,ZA,-31.4707,19.776,69.62,60,20,11.5,few clouds
127,Rovaniemi,FI,66.5,25.7167,27.81,100,100,13.8,overcast clouds
128,Cherskiy,RU,68.75,161.3,-42.32,100,80,3.74,broken clouds
129,Purranque,CL,-40.9167,-73.1667,47.53,75,99,6.31,overcast clouds
130,Poum,NC,-20.2333,164.0167,79.41,72,32,15.99,scattered clouds
131,Ostersund,SE,63.1792,14.6357,27.05,100,0,11.5,clear sky
132,Barreirinha,BR,-2.7933,-57.07,73.87,99,100,2.06,overcast clouds
133,Nelson Bay,AU,-32.7167,152.15,78.85,74,36,18.01,scattered clouds
134,Barra Patuca,HN,15.8,-84.2833,74.86,78,8,10.45,clear sky
135,Teguise,ES,29.0605,-13.564,50.22,71,20,8.05,few clouds
136,Mount Isa,AU,-20.7333,139.5,85.77,51,100,16.11,overcast clouds
137,Hobart,AU,-42.8794,147.3294,70.05,67,100,3.0,light rain
138,Martinsburg,US,39.4562,-77.9639,58.19,57,0,5.75,clear sky
139,Fortuna,US,40.5982,-124.1573,35.35,94,0,9.22,clear sky
140,Ilhabela,BR,-23.7781,-45.3581,78.4,82,97,4.56,light rain
141,Te Anau,NZ,-45.4167,167.7167,65.44,59,5,5.32,clear sky
142,San Francisco,US,37.7749,-122.4194,49.08,69,0,6.91,clear sky
143,Playas,EC,-2.6333,-80.3833,77.13,86,99,6.69,light rain
144,Kuldur,RU,49.2167,131.6333,16.2,80,99,3.71,overcast clouds
145,Plunge,LT,55.9114,21.8442,34.39,97,100,5.99,overcast clouds
146,Tazovskiy,RU,67.4667,78.7,10.26,92,100,19.46,light snow
147,Zhigansk,RU,66.7697,123.3711,-22.22,96,100,12.24,overcast clouds
148,Devils Lake,US,48.1128,-98.8651,6.78,78,100,0.0,overcast clouds
149,Touros,BR,-5.1989,-35.4608,79.27,81,100,11.86,overcast clouds
150,Victoria,HK,22.2855,114.1577,67.24,58,76,8.99,broken clouds
151,Gubkinskiy,RU,64.434,76.5026,14.95,90,100,22.15,overcast clouds
152,Pangody,RU,65.85,74.4859,13.93,82,100,25.57,overcast clouds
153,Puerto Penasco,MX,31.3167,-113.5333,54.39,27,0,9.4,clear sky
154,Tilichiki,RU,60.4667,166.1,-8.36,86,100,9.89,overcast clouds
155,Luau,AO,-10.7073,22.2247,69.03,89,100,4.09,light rain
156,Mar Del Plata,AR,-38.0023,-57.5575,64.09,76,0,5.75,clear sky
157,Aksha,RU,50.2814,113.2867,18.45,48,100,12.3,overcast clouds
158,Longyearbyen,SJ,78.2186,15.6401,26.44,86,100,31.07,snow
159,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.56,91,100,11.32,overcast clouds
160,Solnechnyy,RU,50.7214,136.6319,5.29,91,100,4.74,overcast clouds
161,Xining,CN,36.6167,101.7667,33.75,52,100,2.62,overcast clouds
162,Sakaiminato,JP,35.55,133.2333,42.78,49,75,2.3,broken clouds
163,Nioro,GM,13.35,-15.75,71.6,43,80,4.7,broken clouds
164,Skibbereen,IE,51.55,-9.2667,48.11,89,100,12.46,overcast clouds
165,Oistins,BB,13.0667,-59.5333,77.09,65,20,20.71,few clouds
166,Caloundra,AU,-26.8,153.1333,79.9,60,0,11.32,clear sky
167,Xuddur,SO,4.1213,43.8894,81.48,35,65,25.12,broken clouds
168,San Carlos De Bariloche,AR,-41.1456,-71.3082,35.35,60,0,4.61,clear sky
169,Nyurba,RU,63.2842,118.3319,-5.01,96,100,4.7,overcast clouds
170,Bayan,CN,46.0833,127.4,21.99,76,100,7.36,overcast clouds
171,La Romana,DO,18.4273,-68.9728,71.76,85,0,11.99,clear sky
172,Cabedelo,BR,-6.9811,-34.8339,81.27,81,100,10.29,overcast clouds
173,Cabo San Lucas,MX,22.8909,-109.9124,65.52,75,93,6.8,overcast clouds
174,Oga,IT,46.4631,10.347,37.02,49,100,1.7,overcast clouds
175,College,US,64.8569,-147.8028,-4.79,78,20,3.44,few clouds
176,Gat,IL,31.61,34.7642,52.79,100,96,7.74,overcast clouds
177,Dhamtari,IN,20.7072,81.5497,92.26,11,0,10.16,clear sky
178,Esperance,AU,-33.8667,121.9,71.76,57,2,17.58,clear sky
179,Iralaya,HN,15.0,-83.2333,78.44,64,100,11.79,overcast clouds
180,Puerto Ayora,EC,-0.7393,-90.3518,76.55,92,7,1.66,clear sky
181,Hirara,JP,24.8,125.2833,68.27,56,75,12.66,broken clouds
182,Ponta Do Sol,PT,32.6667,-17.1,59.63,56,21,7.83,few clouds
183,Hammerfest,NO,70.6634,23.6821,37.85,60,40,6.91,scattered clouds
184,Krasnoselkup,RU,65.7,82.4667,9.12,92,100,17.18,overcast clouds
185,Walvis Bay,NA,-22.9575,14.5053,62.1,94,100,11.5,overcast clouds
186,Rute,ES,37.3269,-4.3683,44.15,78,13,4.52,few clouds
187,Pangai,TO,-19.8,-174.35,80.71,83,75,5.75,light rain
188,Vila,PT,42.0304,-8.1588,38.28,84,47,3.33,scattered clouds
189,Oktyabrskoye,RU,43.0645,44.7417,23.14,92,100,6.71,light snow
190,Tommot,RU,58.9564,126.2925,5.68,90,100,5.73,overcast clouds
191,Hereford,GB,52.0568,-2.7148,49.01,93,100,3.0,overcast clouds
192,Airai,TL,-8.9266,125.4092,67.48,83,94,2.91,light rain
193,Srednekolymsk,RU,67.45,153.6833,-35.32,100,91,3.04,overcast clouds
194,Panaba,MX,21.2833,-88.2667,69.49,97,4,8.95,clear sky
195,Lasa,IT,46.6166,10.7002,38.28,43,99,2.3,overcast clouds
196,Riyadh,SA,24.6877,46.7219,55.54,29,12,18.37,few clouds
197,Inhambane,MZ,-23.865,35.3833,86.0,70,40,9.22,scattered clouds
198,Ulaangom,MN,49.9811,92.0667,-8.72,94,100,3.49,overcast clouds
199,Carnarvon,AU,-24.8667,113.6333,78.75,61,0,22.97,clear sky
200,Saint-Philippe,RE,-21.3585,55.7679,83.79,67,40,8.46,scattered clouds
201,Half Moon Bay,US,37.4636,-122.4286,48.31,60,0,6.91,clear sky
202,Lavrentiya,RU,65.5833,-171.0,-25.94,96,74,6.46,broken clouds
203,Vila Velha,BR,-20.3297,-40.2925,78.94,80,0,9.22,clear sky
204,Astoria,US,46.1879,-123.8313,38.91,68,0,5.99,clear sky
205,Angatuba,BR,-23.4897,-48.4128,66.99,95,43,7.27,scattered clouds
206,San Vicente,AR,-26.6167,-54.1333,62.64,98,6,1.81,clear sky
207,Ruston,US,32.5232,-92.6379,71.58,100,100,20.71,overcast clouds
208,Kashary,RU,49.04,41.0056,14.54,95,82,8.21,broken clouds
209,Manzil Salim,TN,35.8567,8.4765,44.76,49,100,1.88,overcast clouds
210,Saint-Georges,GD,12.0564,-61.7485,75.6,79,80,15.43,broken clouds
211,Santa Maria,BR,-29.6842,-53.8069,67.6,95,7,3.47,clear sky
212,Labuhan,ID,-6.8844,112.2051,82.18,79,100,14.79,overcast clouds
213,Nanortalik,GL,60.1432,-45.2371,24.13,91,97,7.65,overcast clouds
214,Capreol,CA,46.706,-80.9225,18.07,79,100,16.11,overcast clouds
215,Vardo,NO,70.3705,31.1107,31.98,86,100,16.11,overcast clouds
216,Palauig,PH,15.435,119.9045,84.2,56,74,6.35,broken clouds
217,Puerto Madero,MX,14.7208,-92.4215,74.34,82,0,3.4,clear sky
218,Siero,ES,43.3833,-5.6667,49.17,85,93,3.89,overcast clouds
219,Saint-Pierre,RE,-21.3393,55.4781,84.9,54,0,13.8,clear sky
220,Chimbote,PE,-9.0853,-78.5783,74.03,80,100,3.44,overcast clouds
221,Narsaq,GL,60.9167,-46.05,3.42,75,100,8.72,overcast clouds
222,Bengkulu,ID,-3.8004,102.2655,83.61,64,85,7.14,overcast clouds
223,Bainbridge,US,47.6262,-122.5212,39.96,83,0,5.01,clear sky
224,Muqui,BR,-20.956,-41.3531,70.79,98,100,3.62,moderate rain
225,Nieuwpoort,BE,51.1244,2.7735,48.09,87,75,8.05,light rain
226,Talara,PE,-4.5772,-81.2719,76.41,83,100,5.41,overcast clouds
227,Solton,RU,52.8429,86.4787,12.88,87,84,2.46,broken clouds
228,Yerbogachen,RU,61.2767,108.0108,9.57,90,100,8.12,overcast clouds
229,Xiongzhou,CN,25.1167,114.3,62.65,46,0,2.51,clear sky
230,Kloulklubed,PW,7.0419,134.2556,81.1,82,87,14.72,overcast clouds
231,Mahebourg,MU,-20.4081,57.7,84.25,65,75,6.91,broken clouds
232,Jaque,PA,7.5175,-78.1703,77.63,85,99,4.43,overcast clouds
233,Ayan,RU,56.45,138.1667,-2.27,73,1,6.73,clear sky
234,Port Elizabeth,ZA,-33.918,25.5701,71.89,83,75,3.44,light rain
235,Karaman,TR,37.0833,33.25,20.35,90,75,7.02,broken clouds
236,Matagami,CA,49.7502,-77.6328,1.51,78,100,25.32,light snow
237,Ylojarvi,FI,61.5563,23.5961,31.62,99,75,6.91,broken clouds
238,Rocha,UY,-34.4833,-54.3333,63.79,75,0,11.3,clear sky
239,Port Hedland,AU,-20.3167,118.5667,98.65,53,1,16.11,clear sky
240,Turayf,SA,31.6725,38.6637,37.65,70,0,4.61,clear sky
241,Kasongo-Lunda,CD,-6.4667,16.8167,75.99,77,100,1.14,overcast clouds
242,Santa Rosalia,MX,27.3167,-112.2833,50.9,55,100,8.66,overcast clouds
243,Norfolk,US,42.1668,-71.2495,57.92,68,0,8.05,clear sky
244,Turukhansk,RU,65.8167,87.9833,5.52,93,100,13.69,overcast clouds
245,Marsa Matruh,EG,31.3525,27.2453,57.4,51,40,13.8,scattered clouds
246,Torbay,CA,47.6666,-52.7314,26.49,90,40,20.71,scattered clouds
247,Camana,PE,-16.6228,-72.7111,74.7,90,99,1.59,overcast clouds
248,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,39,0,13.42,clear sky
249,Aquiraz,BR,-3.9014,-38.3911,80.19,90,100,6.53,overcast clouds
250,Faya,SA,18.3851,42.4509,61.32,39,6,7.34,clear sky
251,Huejuquilla El Alto,MX,22.6,-103.8667,43.57,55,100,1.12,overcast clouds
252,Coquimbo,CL,-29.9533,-71.3436,60.53,94,0,2.3,clear sky
253,Saldanha,ZA,-33.0117,17.9442,71.65,71,1,9.69,clear sky
254,Altamont,US,42.2068,-121.7372,27.79,74,0,3.44,clear sky
255,Klaksvik,FO,62.2266,-6.589,40.12,74,37,26.6,scattered clouds
256,Ilulissat,GL,69.2167,-51.1,14.02,57,100,23.02,light shower snow
257,La Ronge,CA,55.1001,-105.2842,-14.55,76,0,4.61,clear sky
258,Egvekinot,RU,66.3167,-179.1667,-24.9,88,19,8.66,few clouds
259,Tecoanapa,MX,16.5167,-98.75,72.32,80,0,4.65,clear sky
260,Hacari,CO,8.3233,-73.1489,65.97,94,100,4.45,overcast clouds
261,Padang,ID,-0.9492,100.3543,87.85,78,49,3.49,scattered clouds
262,Tessalit,ML,20.1986,1.0114,62.92,19,100,19.06,overcast clouds
263,Celestun,MX,20.8667,-90.4,74.5,76,4,15.52,clear sky
264,Beloha,MG,-25.1667,45.05,88.3,42,0,6.87,clear sky
265,Vilyuysk,RU,63.7553,121.6247,-2.49,94,100,3.29,overcast clouds
266,Shitanjing,CN,39.2342,106.3439,38.62,25,6,1.57,clear sky
267,Leningradskiy,RU,69.3833,178.4167,-26.12,97,100,8.14,overcast clouds
268,Teguldet,RU,57.3064,88.1667,10.38,90,100,2.95,overcast clouds
269,Alihe,CN,50.5667,123.7167,17.87,81,100,3.56,overcast clouds
270,Pacific Grove,US,36.6177,-121.9166,42.42,72,0,4.61,clear sky
271,Eregli,TR,37.5133,34.0467,24.93,79,44,3.13,scattered clouds
272,Amasya,TR,40.6667,35.8333,35.28,61,86,6.58,light snow
273,Goderich,CA,43.7501,-81.7165,37.72,87,98,10.36,overcast clouds
274,Omsukchan,RU,62.5333,155.8,-21.19,97,100,6.62,overcast clouds
275,Naze,JP,28.3667,129.4833,59.92,65,51,10.65,broken clouds
276,Hervey Bay,AU,-25.2986,152.8535,81.01,66,0,8.99,clear sky
277,Bay Roberts,CA,47.5999,-53.2648,24.44,85,100,1.01,overcast clouds
278,Singaraja,ID,-8.112,115.0882,82.85,76,99,3.2,light rain
279,Pevek,RU,69.7008,170.3133,-40.04,99,100,4.5,overcast clouds
280,Burnie,AU,-41.0667,145.9167,68.94,74,100,5.86,overcast clouds
281,Izhevskoye,RU,54.5567,40.8703,16.56,92,94,9.17,overcast clouds
282,Uglegorsk,RU,49.0833,142.0333,5.31,89,9,2.8,clear sky
283,Sitka,US,57.0531,-135.33,35.49,87,100,8.05,overcast clouds
284,Ugoofaaru,MV,5.6667,73.0,80.24,63,67,11.07,broken clouds
285,Beinamar,TD,8.6698,15.3813,69.64,19,84,6.98,broken clouds
286,Sur,OM,22.5667,59.5289,83.88,30,0,2.8,clear sky
287,Verkhnyaya Toyma,RU,62.2349,44.9985,7.07,98,100,3.11,overcast clouds
288,Mao,ES,39.8885,4.2658,50.56,93,20,4.61,few clouds
289,Bathsheba,BB,13.2167,-59.5167,77.61,65,20,20.71,few clouds
290,Roald,NO,62.5833,6.1333,43.32,70,40,24.16,light intensity drizzle
291,Stavrovo,RU,56.1331,40.013,9.59,96,93,7.0,overcast clouds
292,Plouzane,FR,48.3833,-4.6167,50.32,96,100,18.41,light intensity drizzle
293,Denpasar,ID,-8.65,115.2167,85.71,79,40,14.97,scattered clouds
294,Kaeo,NZ,-35.1,173.7833,65.97,83,7,6.29,clear sky
295,Oyo,NG,7.85,3.9333,70.75,21,6,5.73,clear sky
296,Rio Grande,BR,-32.035,-52.0986,70.57,76,0,7.34,clear sky
297,Evansville,US,37.9748,-87.5558,57.25,84,75,4.61,broken clouds
298,Virginia Beach,US,36.8529,-75.978,64.45,79,100,11.5,overcast clouds
299,Cidreira,BR,-30.1811,-50.2056,73.15,88,11,1.01,few clouds
300,Nome,US,64.5011,-165.4064,-14.73,76,0,6.91,clear sky
301,Mpulungu,ZM,-8.7623,31.1141,75.31,75,99,0.89,overcast clouds
302,Ornskoldsvik,SE,63.2909,18.7153,32.95,100,100,10.36,overcast clouds
303,Pocatello,US,42.8713,-112.4455,3.81,85,0,0.0,clear sky
304,Chabahar,IR,25.2919,60.643,76.82,51,24,5.21,few clouds
305,Moyale,KE,3.5167,39.0584,82.4,21,11,17.0,few clouds
306,Guerrero Negro,MX,27.9769,-114.0611,54.68,48,100,8.03,overcast clouds
307,San Quintin,MX,30.4833,-115.95,52.05,53,2,3.09,clear sky
308,Ulladulla,AU,-35.35,150.4667,78.71,59,82,11.61,broken clouds
309,Lashio,MM,22.9333,97.75,83.97,20,0,7.14,clear sky
310,Kokopo,PG,-4.352,152.2633,83.26,72,17,5.37,light rain
311,Thinadhoo,MV,0.5333,72.9333,81.43,71,100,12.3,overcast clouds
312,Copiapo,CL,-27.3667,-70.3333,62.29,79,0,2.53,clear sky
313,Komsomolskiy,UZ,40.4272,71.7189,39.92,87,100,2.3,mist
314,Muros,ES,42.7762,-9.0603,42.84,92,99,5.77,overcast clouds
315,Johnstown,US,40.3267,-78.922,61.14,51,40,8.05,scattered clouds
316,Aqtobe,KZ,50.2797,57.2072,24.89,86,100,13.42,light snow
317,Changde,CN,29.0464,111.6783,45.91,49,97,1.25,overcast clouds
318,Calamar,CO,10.2511,-74.9146,78.03,77,5,3.33,clear sky
319,Acapulco,MX,16.8634,-99.8901,78.62,78,75,2.3,broken clouds
